Stars,Name,Primary Authors,Language,License,Leader Election + Log Replication?,Persistence?,Membership Changes?,Log Compaction?
26505.0,RethinkDB,,C++,Apache-2.0,Yes,Yes,Yes,Yes
14448.0,TiKV,"Jay, ngaut, siddontang, tiancaiamao",Rust,Apache-2.0,Yes,Yes,Yes,Yes
12450.0,Seastar Raft,"Gleb Natapov, Konstantin Osipov, Pavel Solodovnikov, Alejo Sanchez, Kamil Braun, Tomash Grabiec",C++20,AGPL,Yes,Yes,Yes,Yes
10079.0,nebula-graph-storage,"Sherman Ye, Doodle Wang",C++,Apache-2.0,Yes,Yes,Yes,Yes
3776.0,braft,"Zhangyi Chen, Yao Wang",C++,Apache-2.0,Yes,Yes,Yes,Yes
5849.0,hazelcast-raft,"Mehmet Dogan, Ensar Basri Kahveci",Java,Apache-2.0,Yes,Yes,Yes,Yes
7812.0,hashicorp/raft,Armon Dadgar,Go,MPL-2.0,Yes,Yes,Yes,Yes
1509.0,.NEXT Raft,Roman Sakno,C#,MIT,Yes,Yes,Yes,Yes
7038.0,Aeron Cluster,"Martin Thompson, Todd L. Montgomery, Michael Barker, Dmitry Vyazelenko",Java,Apache-2.0,Yes,Yes,Yes,Yes
3458.0,SOFAJRaft,"Boyan, Jiachun",Java,Apache-2.0,Yes,Yes,Yes,Yes
2425.0,go-raft,"Ben Johnson , Xiang Li, CoreOS)",Go,MIT,Yes,Yes,No,Yes
996.0,async-raft,Anthony Dodd,Rust,Apache-2.0 or MIT,Yes,Yes,Yes,Yes
4930.0,dragonboat,Lei Ni,Go,Apache-2.0,Yes,Yes,Yes,Yes
961.0,eliben/raft,Eli Bendersky,Go,Unlicense,Yes,Yes,No,No
1796.0,Kudu,"David Alves, Todd Lipcon, Mike Percy",C++,Apache-2.0,Yes,Yes,Yes,Yes
1193.0,Openraft,"Yanpo Zhang, Anthony Dodd",Rust,Apache-2.0 or MIT,Yes,Yes,Yes,Yes
1083.0,willemt/raft,Willem-Hendrik Thiart,C,BSD,Yes,Yes,Yes,Yes
512.0,etcd-io/raft,"Blake Mizerany, Xiang Li, Yicheng Qin",Go,Apache-2.0,Yes,Yes,Yes,Yes
1832.0,LogCabin,Diego Ongaro,C++,ISC,Yes,Yes,Yes,Yes
938.0,NuRaft,Jung-Sang Ahn,C++,Apache-2.0,Yes,Yes,Yes,Yes
1148.0,raft-java,Wenwei Hu,Java,Apache-2.0,Yes,Yes,Yes,Yes
1162.0,Apache Ratis,Tsz-Wo (Nicholas) Sze,Java,Apache-2.0,Yes,Yes,Yes,Yes
679.0,bakwc/PySyncObj,Filipp Ozinov,Python,MIT,Yes,Yes,Yes,Yes
219.0,xraft,XnnYygn,Java,MIT,Yes,Yes,Yes,Yes
396.0,Permazen/RaftKVDatabase,Archie Cobbs,Java,Apache-2.0,Yes,Yes,Yes,Yes
797.0,RedisRaft,Redis Labs,C,(AGPL-3.0 OR RSAL),Yes,Yes,Yes,Yes
250.0,jgroups-raft,Bela Ban,Java,Apache-2.0,Yes,Yes,Yes,Yes
431.0,OpenDaylight,"Moiz Raja, Kamal Rameshan, Robert Varga, Tom Pantelis",Java,EPL-1.0,Yes,Yes,No,Yes
775.0,Ra,Team RabbitMQ,erlang,(Apache-2.0 OR MPL-1.1),Yes,Yes,Yes,Yes
251.0,eraft,"JieLiu, FengLin Zou, WeiZheng Wu, JiaCheng Huang, BiYong Liu, Zichen Xu",C++,MIT,Yes,Yes,Yes,Yes
277.0,akka-raft,Konrad Malawski,Scala,Apache-2.0,Yes,Yes,Yes,Yes
161.0,Raft.Net,hhblaze@gmail.com,C#,BSD-2-Clause License,Yes,Yes,Yes,Yes
188.0,MicroRaft,Ensar Basri Kahveci,Java,Apache-2.0,Yes,Yes,Yes,Yes
175.0,jraft,Andy Chen,Java,Apache-2.0,Yes,Yes,Yes,Yes
